Kanji	Onyomi	Kunyomi	English
嵯	サ シ		steep, craggy, rugged
綜	ソウ	おさ.める す.べる	rule
繕	ゼン	つくろ.う	darning, repair, mend, trim, tidy up, adjust
栓	セン		plug, bolt, cork, bung, stopper
翠	スイ ミド	かわせみ	green
鮎	デン ネン ナマ	あゆ	freshwater trout, smelt
榛	シン ハン ハ	はしばみ	hazelnut, filbert
凹	オウ	くぼ.む へこ.む ぼこ	concave, hollow, sunken
艶	エン ナマ.メ	つや なま.めかしい あで.やか つや.めく	glossy, luster, glaze, polish, charm, colorful, captivating
惣	ソウ ソウジ	いそが.しい	all
蔦	チョウ ツ		vine, ivy
錬	レン	ね.る	tempering, refine, drill, train, polish
隼	シュン ジュン ハヤブ		falcon
渚	ショ ナギ		strand, beach, shore
衷	チュウ		inmost, heart, mind, inside
逐	チク		pursue, drive away, chase, accomplish, attain, commit
斥	セキ	しりぞ.ける	reject, retreat, recede, withdraw, repel, repulse
稀	キ ケ	まれ まばら	rare, phenomenal, dilute (acid)
芙			lotus, Mt Fuji
詔	ショウ ミコトノ		imperial edict
皐	コウ サツ		swamp, shore
雛	スウ ス ジュ	ひな ひよこ	chick, squab, duckling, doll
惟	イ ユイ オモ.ウ	おも.んみる これ	consider, reflect, think
佑	ユウ ウ タス.ケ		help, assist
耀	ヨウ ヒカ	かがや.く	shine, sparkle, gleam, twinkle
黛	タイ	まゆずみ	blackened eyebrows
渥	アク ウルオ.	あつ.い	kindness
憧	ショウ トウ ドウ	あこが.れる	yearn after, long for, aspire to, admire, adore
宵	ショウ	よい	wee hours, evening, early night
妄	モウ ボウ	みだ.りに	delusion, unnecessarily, without authority, reckless
惇	シュン ジュン トン アツ.		sincere, kind, considerate
脩	シュウ ホジ	おさ.める なが.い	dried meat
甫	ホ フ ハジ.メ		for the first time, not until
酌	シャク	く.む	bar-tending, serving sake, the host, draw (water), ladle, scoop, pump
蚕	サン テン	かいこ こ	silkworm
嬉	キ タノ.シ	うれ.しい	glad, pleased, rejoice
蒼	ソウ	あお.い	blue, pale
暉	キ カガ.ヤ		shine, light
頒	ハン	わか.つ	distribute, disseminate, partition, understand
只	シ	ただ	only, free, in addition
肢	シ		limb, arms & legs
檀	ダン タン	まゆみ	cedar, sandlewood, spindle tree
凱	ガイ カイ	かちどき やわらぐ	victory song
彗	スイ エ ケイ セイ ホウ		comet
謄	トウ		mimeograph, copy
梓	シ	あずさ	catalpa tree
丑	チュウ ウ		sign of the ox or cow, 1-3AM, second sign of Chinese zodiac
嗣			heir, succeed
叶	キョウ カナ.	かな.える	grant, answer
汐	セキ セ	しお うしお	eventide, tide, salt water, opportunity
絢	ケ		kimono design
朔	サク ツイタ		conjunction (astronomy), first day of month
伽	カ ガ キャ ギャ	とぎ	nursing, attending, entertainer
畝	ボウ ホ モ ム	せ うね	furrow, 30 tsubo, ridge, rib
抄	ショ		extract, selection, summary, copy, spread thin
爽	ソウ	あき.らか さわ.やか たがう	refreshing, bracing, resonant, sweet, clear
黎	レイ リ クロ.		dark, black, many
惰	ダ		lazy, laziness
蛮	バン	えびす	barbarian
冴	ゴ コ ヒ.エ	さ.える こお.る	be clear, serene, cold, skilful
旺	オウ キョウ ゴウ	かがや.き うつくし.い さかん	flourishing, successful, beautiful, vigorous
萌	ホウ キザ.	も.える きざ.す めばえ	show symptoms of, sprout, bud, malt
偲	サイ シ	しの.ぶ	recollect, remember
壱	イチ イツ ヒト		I, one
瑠	ル リュ		lapis lazuli
允	イン ユル	じょう まこと.に	license, sincerity, permit
侯	コウ		marquis, lord, daimyo
蒔	シ ジ マ	う.える	sow (seeds)
鯉	リ	こい	carp
弧	コ		arc, arch, bow
遥	ヨウ	はる.か	far off, distant, long ago
舜	シュ		type of morning glory, rose of Sharon, althea
瑛	エ		sparkle of jewelry, crystal
附	フ ツ.	つ.ける	affixed, attach, refer to, append
彪	ヒョウ ヒュウ ア		spotted, mottled, patterned, small tiger
卯	ボウ モウ		sign of the hare or rabbit, 5-7AM, fourth sign of Chinese zodiac, east
但	タン タダ.		however, but
綺	キ	あや	figured cloth, beautiful
芋	ウ	いも	potato
茜	セン	あかね	madder, red dye, Turkey red
凌	リョウ	しの.ぐ	endure, keep (rain)out, stave off, tide over, defy, slight, surpass
皓	コウ ヒカ.	しろ.い	white, clear
洸	コ		sparkling water
毬	キュウ	いが まり	burr, ball
婆	バ	ばば ばあ	old woman, grandma, wet nurse
緋	ヒ	あけ あか	scarlet, cardinal
鯛	チョウ	たい	sea bream, red snapper
怜	レイ レン リョウ サト.	あわ.れむ	wise
邑	ユウ ム	うれ.える くに	village, rural community, right village radical (no. 163)
倣	ホウ	なら.う	emulate, imitate
碧	ヘキ ヒャ		blue, green
啄	タク ツク トク ツツ.	ついば.む	peck, pick up
穣	ジョウ ユタ	わら	good crops, prosperity, 10**28
酉	ユウ ト		west, bird, sign of the bird, 5-7PM, tenth sign of Chinese zodiac, sake radical (no. 164)
悌	テイ ダ		serving our elders
倹	ケン	つま.しい つづまやか	frugal, economy, thrifty
柚	ユ ユウ ジク	ゆず	citron
繭	ケン	まゆ きぬ	cocoon
亦	エキ ヤク	また	also, again
詢	ジュン シュン	はか.る まこと	consult with
采	サイ	と.る いろどり	dice, form, appearance, take, coloring
紗	サ シャ ウスギ		gauze, gossamer
賦	フ		levy, ode, prose, poem, tribute, installment
眸	ボウ ム	ひとみ	pupil of the eye
玖	キュウ		beautiful black jewel, nine
弐	ニ ジ	ふた.つ そえ	II, two, second
錘	スイ	つむ おもり	weight, plumb bob, sinker
諄	シュン	ひちくど.い くど.い くどくど ねんご.ろ	tedious
倖	コウ	しあわ.せ さいわ.い	happiness, luck
痘	トウ		pox, smallpox
笙	ショウ ソウ	ふえ	a reed instrument
侃	カン ツヨ.		strong, just, righteous, peace-loving
裟	サ シャ		Buddhist surplice
洵	ジュン シュン	の.ぶ まこと.に	alike, truth
爾	ジ ニ ノ	なんじ しかり その	you, thou, second person
耗	モウ コウ カウ		decrease
昴	コウ ボウ	すばる	the Pleiades
銑	セン		pig iron
莞	カン	い	reed used to cover tatami
伶	レイ リョウ ワザオ		actor
碩	セキ	おお.きい	large, great, eminent
宥	ユウ	なだ.める ゆる.す	soothe, calm, pacify
滉	コウ	ひろ.い	deep and broad
晏	アン	おそ.い	late, quiet, sets (sun)
伎	ギ キ	わざ わざおぎ	deed, skill
朕	チン		majestic plural, imperial we
迪	テキ イタ.	みち みち.びく すす.む	edify, way, path
綸	リン カン	いと	thread, silk cloth
且	ショ ソ ショウ カ.		moreover, also, furthermore
竣	ドウ シュン	わらわ わらべ おわ.る	end, finish
晨	シン	あした とき あさ	morning, early
吏			officer, an official
燦	サン	さん.たる あき.らか きらめ.く きら.めく	brilliant
麿	マ		I, you, (kokuji)
頌	ショウ ジュ ヨウ ホメ.	かたち たた.える	eulogy
箇	カ コ		counters for things
楓	フウ	かえで	maple
琳	リン		jewel, tinkling of jewelry
梧	ゴ	あおぎり	Chinese parasol tree, phoenix tree
哉	サイ	かな	how, what, alas, (question mark)
澪	レイ	みお	water route, shipping channel
匁		もんめ め ひゃくめ	monme, 3.75 grams, (kokuji)
晟	セイ ジョウ	あきらか	clear
衿	キン コン	えり	neck, collar, lapel
凪		なぎ な.ぐ	lull, calm, (kokuji)
梢	ショウ	こずえ くすのき	treetops, twig
丙	ヘイ	ひのえ	third class, 3rd, 3rd calendar sign
颯	サツ ソウ	さっ.と	suddenly, smoothly
茄	カ		eggplant
勺	シャク		ladle, one tenth of a go, dip
恕	ジョ ショ	ゆる.す	excuse, tolerate, forgive
蕗	ロ ル	ふき	butterbur, bog rhubarb
瑚	コ ゴ		ancestral offering receptacle
遵	ジュン		abide by, follow, obey, learn
瞭	リョウ	あきらか	clear
燎	リョウ	かがりび	burn, bonfire
虞	グ	おそれ	uneasiness, fear, anxiety, concern
柊	シュ シュウ	ひいらぎ	holly
侑	ユウ ウ タス.ケ	すす.める	urge to eat
謁	エツ		audience, audience (with king)
斤		おの	axe, 1.32 lb, catty, counter for loaves of bread
嵩	スウ シュウ タカ.	かさ かさ.む	be aggravated, grow worse, grow bulky, swell
捺	ナツ ダツ	さ.す お.す	press, print, affix a seal, stamp
蓉	ヨ		lotus
茉	マツ バツ		jasmine
袈	ケ カ		a coarse camlet
燿	ヨウ	かがや.く ひかり	shine
誼	ギ	よしみ よい	friendship, intimacy
冶	ヤ イ.		melting, smelting
栞	カン	しおり	bookmark, guidebook
墾	コン		ground-breaking, open up farmland
勁	ケイ	つよ.い	strong
菖	ショウ		iris
旦	タン ダン	あき.らか あきら ただし あさ あした	nightbreak, dawn, morning
椋	リョウ ム		type of deciduous tree, grey starling
叡	エイ	あき.らか	intelligence, imperial
紬	チュウ	つむぎ つむ.ぐ	pongee (a knotted silk cloth)
胤	イン タ		descendent, issue, offspring
凜	リン	きびし.い	cold, strict, severe
亥	ガイ カイ		sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac
爵	シャク		baron, peerage, court rank
脹	チョウ	は.れる ふく.らむ ふく.れる	dilate, distend, bulge, fill out, swell
麟	リン		Chinese unicorn, genius, giraffe, bright, shining
莉	リ ライ レイ		jasmine
汰	タ タイ	おご.る にご.る よな.げる	luxury, select
瑶	ヨウ	たま	beautiful as a jewel
瑳	サ	みが.く	polish
耶	ヤ ジャ	か	question mark
椰	ヤ	やし	coconut tree
絃	ゲン	いと	string, cord, samisen music
丞	ジョウ ショウ タス.ケ	すく.う	help
璃			glassy, lapis lazuli
奎	ケイ キ		star, god of literature
塑	ソ	でく	model, molding
昂	コウ ゴウ タカ.ブ	あ.がる たか.い	rise
柾		まさ まさめ まさき	straight grain, spindle tree, (kokuji)
熙	キ	たのし.む ひか.る ひろ.い よろこ.ぶ かわ.く あきらか ひろ.める ひろ.まる	bright, sunny, prosperous, merry
菫	キン	すみれ	the violet
諒	リョウ マコト	あきら.か	fact, reality, understand, appreciate
鞠	キク キュウ マ		ball
崚	リョウ		towering in a row
濫	ラン	みだ.りに みだ.りがましい	excessive, overflow, spread out
捷	ショウ ソウ ハヤ.		victory, fast
